Cell Name/Pin, Capacitance, Direction
sky130_fd_sc_hd__and2b_4/A_N,0.0014840000,input
sky130_fd_sc_hd__and2b_4/B,0.0025300000,input
sky130_fd_sc_hd__and2b_4/X,0.4916480000,output
sky130_fd_sc_hd__and3_1/A,0.0015030000,input
sky130_fd_sc_hd__and3_1/B,0.0015480000,input
sky130_fd_sc_hd__and3_1/C,0.0015920000,input
sky130_fd_sc_hd__and3_1/X,0.1648050000,output
sky130_fd_sc_hd__and3_2/A,0.0014530000,input
sky130_fd_sc_hd__and3_2/B,0.0015330000,input
sky130_fd_sc_hd__and3_2/C,0.0015590000,input
sky130_fd_sc_hd__and3_2/X,0.3250220000,output
sky130_fd_sc_hd__and3_4/A,0.0025330000,input
sky130_fd_sc_hd__and3_4/B,0.0024490000,input
sky130_fd_sc_hd__and3_4/C,0.0024790000,input
sky130_fd_sc_hd__and3_4/X,0.5639750000,output
sky130_fd_sc_hd__and3b_1/A_N,0.0015610000,input
sky130_fd_sc_hd__and3b_1/B,0.0015510000,input
sky130_fd_sc_hd__and3b_1/C,0.0015840000,input
sky130_fd_sc_hd__and3b_1/X,0.1648050000,output
sky130_fd_sc_hd__and3b_2/A_N,0.0014410000,input
sky130_fd_sc_hd__and3b_2/B,0.0015290000,input
sky130_fd_sc_hd__and3b_2/C,0.0015500000,input
sky130_fd_sc_hd__and3b_2/X,0.3250220000,output
sky130_fd_sc_hd__and3b_4/A_N,0.0016080000,input
sky130_fd_sc_hd__and3b_4/B,0.0024250000,input
sky130_fd_sc_hd__and3b_4/C,0.0024570000,input
sky130_fd_sc_hd__and3b_4/X,0.4824930000,output
sky130_fd_sc_hd__and4_1/A,0.0015600000,input
sky130_fd_sc_hd__and4_1/B,0.0015790000,input
sky130_fd_sc_hd__and4_1/C,0.0015700000,input
sky130_fd_sc_hd__and4_1/D,0.0015970000,input
sky130_fd_sc_hd__and4_1/X,0.1702980000,output
sky130_fd_sc_hd__and4_2/A,0.0015220000,input
sky130_fd_sc_hd__and4_2/B,0.0015500000,input
sky130_fd_sc_hd__and4_2/C,0.0015480000,input
sky130_fd_sc_hd__and4_2/D,0.0015680000,input
sky130_fd_sc_hd__and4_2/X,0.3176980000,output
sky130_fd_sc_hd__and4_4/A,0.0024050000,input
sky130_fd_sc_hd__and4_4/B,0.0024760000,input
sky130_fd_sc_hd__and4_4/C,0.0024280000,input
sky130_fd_sc_hd__and4_4/D,0.0024080000,input
sky130_fd_sc_hd__and4_4/X,0.5621440000,output
sky130_fd_sc_hd__and4b_1/A_N,0.0016200000,input
